date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:28	49893/49893	---M--	200	added ('OK')	image/jpeg	etag:%22c2e5-5876b1e2dea57%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/2-1556259628865.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/2-1556259628865.jpg	(from http://localhost/banhang-vongda/)
14:37:32	64827/64827	---M--	200	added ('OK')	image/png	etag:%22fd3b-5878e2312733c%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/icon-dich-vu-4.png	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/icon-dich-vu-4.png	(from http://localhost/banhang-vongda/)
14:37:35	82955/82955	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:28%20GMT	http://localhost/banhang-vongda/?add-to-cart=111	D:/banhang-vongda/localhost/banhang-vongda/index5f6a.html	(from http://localhost/banhang-vongda/)
14:37:41	82955/82955	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:28%20GMT	http://localhost/banhang-vongda/?add-to-cart=110	D:/banhang-vongda/localhost/banhang-vongda/indexfc38.html	(from http://localhost/banhang-vongda/)
14:37:42	82979/82979	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:28%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-006/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-006/index.html	(from http://localhost/banhang-vongda/)
14:37:43	84202/84202	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:32%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-007/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-007/index.html	(from http://localhost/banhang-vongda/)
14:37:47	82955/82955	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:41%20GMT	http://localhost/banhang-vongda/?add-to-cart=112	D:/banhang-vongda/localhost/banhang-vongda/index0235.html	(from http://localhost/banhang-vongda/)
14:37:51	48539/48539	---M--	200	added ('OK')	image/png	etag:%22bd9b-5878e1facb1f8%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/icon-dich-vu-3.png	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/icon-dich-vu-3.png	(from http://localhost/banhang-vongda/)
14:37:52	84338/84338	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:43%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-da-phong-thuy-004/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-da-phong-thuy-004/index.html	(from http://localhost/banhang-vongda/)
14:37:53	6999/6999	---M--	200	added ('OK')	image/png	etag:%221b57-587a1c9e54ca7%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/cropped-lo-go-thiet-ke-web3.png	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/cropped-lo-go-thiet-ke-web3.png	(from http://localhost/banhang-vongda/)
14:37:53	47817/47817	---M--	200	added ('OK')	image/png	etag:%22bac9-5878e1a7c4bbd%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/icon-dich-vu-2.png	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/icon-dich-vu-2.png	(from http://localhost/banhang-vongda/)
14:37:58	82955/82955	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:51%20GMT	http://localhost/banhang-vongda/?add-to-cart=95	D:/banhang-vongda/localhost/banhang-vongda/index6791.html	(from http://localhost/banhang-vongda/)
14:38:04	84873/84873	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:53%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-da-phong-thuy-k02/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-da-phong-thuy-k02/index.html	(from http://localhost/banhang-vongda/)
14:38:04	9566/9566	---M--	200	added ('OK')	application/javascript	etag:%22255e-5876679f9983f%22	http://localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	D:/banhang-vongda/localhost/banhang-vongda/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from http://localhost/banhang-vongda/)
14:38:05	84444/84444	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:53%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-da-phong-thuy-k03/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-da-phong-thuy-k03/index.html	(from http://localhost/banhang-vongda/)
14:38:05	74473/74473	---M--	200	added ('OK')	image/png	etag:%22122e9-5878e12cc45c4%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/icon-dich-vu-1.png	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/icon-dich-vu-1.png	(from http://localhost/banhang-vongda/)
